,room_position_id,room_id,x,y,width,height,polygon_points,nearest_indoor_node_id
,POS_001,DKU_ICT_-1_101,355,232,43,40,"355,232;398,232;398,272;355,272",NULL
,POS_002,DKU_ICT_-1_102,357,276,39,82,"357,276;396,276;396,358;357,358",NULL
,POS_003,DKU_ICT_-1_103,358,394,36,62,"358,363;394,363;394,425;358,425",NULL
,POS_004,DKU_ICT_-1_104,346,447,49,85,"346,447;395,447;395,532;346,532",NULL
,POS_005,DKU_ICT_-1_105,347,535,48,16,"347,535;395,535;395,551;347,551",NULL
,POS_006,DKU_ICT_-1_106,,,,,,NULL
,POS_007,DKU_ICT_-1_107,418,492,36,37,"418,492;454,492;454,529;418,529",NULL
,POS_008,DKU_ICT_-1_108,417,406,37,80,"417,406;454,406;454,486;417,486",NULL
,POS_009,DKU_ICT_-1_109,415,384,41,19,"415,384;456,384;456,403;415,403",NULL
,POS_010,DKU_ICT_-1_110,417,362,38,19,"417,362;455,362;455,381;417,381",NULL
,POS_011,DKU_ICT_-1_111,417,275,39,84,"415,275;454,275;454,359;415,359",NULL
,POS_012,DKU_ICT_-1_112,476,219,63,54,"476,219;539,219;539,273;476,273",NULL
,POS_013,DKU_ICT_-1_113,499,166,40,51,"499,166;539,166;539,217;499,217",NULL
,POS_014,DKU_ICT_-1_114,460,168,33,48,"460,168;493,168;493,216;460,216",NULL
,POS_015,DKU_ICT_1_101,585,233,83,39,"585,233;668,233;668,272;585,272",NULL
,POS_016,DKU_ICT_1_102,637,234,82,37,"673,234;755,234;755,271;673,271",NULL
,POS_017,DKU_ICT_1_103,737,164,18,51,"737,164;755,164;755,215;737,215",NULL
,POS_018,DKU_ICT_1_104,672,164,60,53,"672,164;732,164;732,217;672,217",NULL
,POS_019,DKU_ICT_1_105,585,174,40,41,"585,174;625,174;625,215;585,215",NULL
,POS_020,DKU_ICT_1_106,564,173,18,31,"564,173;582,173;582,204;564,204",NULL
,POS_021,DKU_ICT_1_107,544,173,16,31,"544,173;560,173;560,204;544,204",NULL
,POS_022,DKU_ICT_1_108,355,230,39,41,"355,230;394,230;394,271;355,271",NULL
,POS_023,DKU_ICT_1_109,357,275,38,64,"357,275;395,275;395,339;357,339",NULL
,POS_024,DKU_ICT_1_110,355,343,38,16,"355,343;393,343;393,359;355,359",NULL
,POS_025,DKU_ICT_1_111,372,362,21,38,"372,362;393,362;393,400;372,400",NULL
,POS_026,DKU_ICT_1_112,372,403,23,39,"372,403;395,403;395,442;372,442",NULL
,POS_027,DKU_ICT_1_113,347,466,48,44,"347,466;395,466;395,510;347,510",NULL
,POS_028,DKU_ICT_1_114,345,535,48,14,"345,535;393,535;393,549;345,549",NULL
,POS_029,DKU_ICT_1_115,,,,,,NULL
,POS_030,DKU_ICT_1_116,,,,,,NULL
,POS_031,DKU_ICT_1_117,416,512,38,19,"416,512;454,512;454,531;416,531",NULL
,POS_032,DKU_ICT_1_118,414,491,40,19,"414,491;454,491;454,510;414,510",NULL
,POS_033,DKU_ICT_1_119,415,470,39,19,"415,470;454,470;454,489;415,489",NULL
,POS_034,DKU_ICT_1_120,416,449,38,17,"416,449;454,449;454,466;416,466",NULL
,POS_035,DKU_ICT_1_121,416,427,38,18,"416,427;454,427;454,445;416,445",NULL
,POS_036,DKU_ICT_1_122,415,406,38,18,"415,406;453,406;453,424;415,424",NULL
,POS_037,DKU_ICT_1_123,416,384,38,17,"416,384;454,384;454,401;416,401",NULL
,POS_038,DKU_ICT_1_124,415,361,38,18,"415,361;453,361;453,379;415,379",NULL
,POS_039,DKU_ICT_1_125,415,341,40,17,"415,341;455,341;455,358;415,358",NULL
,POS_040,DKU_ICT_1_126,417,317,37,19,"417,317;454,317;454,336;417,336",NULL
,POS_041,DKU_ICT_1_127,416,273,38,20,"416,273;454,273;454,293;416,293",NULL
,POS_042,DKU_ICT_1_128,,,,,,NULL
,POS_043,DKU_ICT_2_201,542,232,40,40,"542,232;582,232;582,272;542,272",NULL
,POS_044,DKU_ICT_2_202,586,234,40,39,"586,234;626,234;626,273;586,273",NULL
,POS_045,DKU_ICT_2_203,629,232,60,41,"629,232;689,232;689,273;629,273",NULL
,POS_046,DKU_ICT_2_204,695,232,59,42,"695,232;754,232;754,274;695,274",NULL
,POS_047,DKU_ICT_2_205,672,175,82,40,"672,175;754,175;754,215;672,215",NULL
,POS_048,DKU_ICT_2_206,629,174,41,42,"629,174;670,174;670,216;629,216",NULL
,POS_049,DKU_ICT_2_207,544,173,81,43,"544,173;625,173;625,216;544,216",NULL
,POS_050,DKU_ICT_2_208,356,232,39,39,"356,232;395,232;395,271;356,271",NULL
,POS_051,DKU_ICT_2_209,,,,,,NULL
,POS_052,DKU_ICT_2_210,357,275,37,40,"357,275;394,275;394,315;357,315",NULL
,POS_053,DKU_ICT_2_211,357,320,38,29,"357,320;395,320;395,349;357,349",NULL
,POS_054,DKU_ICT_2_212,357,361,38,40,"357,361;395,361;395,401;357,401",NULL
,POS_055,DKU_ICT_2_213,356,406,40,36,"356,406;396,406;396,442;356,442",NULL
,POS_056,DKU_ICT_2_214,348,466,49,43,"348,466;397,466;397,509;348,509",NULL
,POS_057,DKU_ICT_2_215,457,593,62,24,"457,593;519,593;519,617;457,617",NULL
,POS_058,DKU_ICT_2_216,522,594,27,23,"522,594;549,594;549,617;522,617",NULL
